Media ID;R_EX_glc__D_e_i;R_EX_xyl__D_e_i;R_EX_succ_e_i;R_EX_ala__L_e_i;R_EX_arg__L_e_i;R_EX_asn__L_e_i;R_EX_asp__L_e_i;R_EX_cys__L_e_i;R_EX_glu__L_e_i;R_EX_gln__L_e_i;R_EX_gly_e_i;R_EX_his__L_e_i;R_EX_ile__L_e_i;R_EX_leu__L_e_i;R_EX_lys__L_e_i;R_EX_met__L_e_i;R_EX_phe__L_e_i;R_EX_pro__L_e_i;R_EX_ser__L_e_i;R_EX_thr__L_e_i;R_EX_trp__L_e_i;R_EX_tyr__L_e_i;R_EX_val__L_e_i;R_EX_ade_e_i;R_EX_gua_e_i;R_EX_csn_e_i;R_EX_ura_e_i;R_EX_thymd_e_i;GR_AVG;GR_STD;Stdev (%);Observations
126;0;1;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;0,428991809;0,014346136;3,344151528;
127;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;1;0,446016012;0,00476171;1,067609714;
128;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;1;0;1;1;1;1;1;0,375538466;0,010029272;2,670637851;
129;0;1;0;0;1;0;0;1;0;0;1;0;1;1;0;1;0;1;1;1;0;0;1;0;0;0;0;0;0,599858206;0,010959716;1,827051027;
130;0;1;0;0;0;0;0;1;1;1;1;1;0;0;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0,538487051;0,052011094;9,658745589;
131;0;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;0;0;0;0,632733502;0,015962389;2,522766538;
132;0;1;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0,750804288;0,005405223;0,719924351;
133;0;1;0;0;0;0;0;1;1;1;1;1;0;0;1;1;1;0;1;1;1;1;0;1;1;1;1;1;0,644287591;0,029600094;4,594236212;
134;0;1;0;1;0;1;1;0;1;1;1;1;0;0;1;0;1;0;1;1;1;1;0;0;0;0;0;0;0,586783034;0,030703944;5,232588995;
135;0;1;0;1;0;1;1;1;1;1;1;1;0;0;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0,504312905;0,042843731;8,495465904;
136;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;0;0;0;0,70395331;0,021956152;3,118978396;
137;0;1;0;0;1;0;0;0;1;1;1;0;1;1;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0,632605834;0,012068606;1,907760715;
138;0;1;0;0;1;0;0;0;1;1;1;0;1;1;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0,712446853;0,06856533;9,623922104;
139;0;1;0;0;1;0;0;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0;0,615162412;0,01971164;3,204298449;
